village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Jamapada,396724,Odisha,Kendrapara,Marsaghai,2403.0,2403.0,585.0,160.0,20.43829289344866,86.39509833362571,53.10160775300909,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6804218221961718,0.3,0.6518020868774536,0.4446950457593799,0.531016077530091,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,108.0,48.0,60.0,15.0
Naranpur,396707,Odisha,Kendrapara,Marsaghai,516.0,516.0,117.0,67.0,20.446843856125497,86.35383638388132,48.63569144723022,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6847885467159942,0.1,0.6794084884853943,0.4303411416807771,0.4863569144723022,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,41.0,14.0,27.0,10.0
Dihabalarampur,396713,Odisha,Kendrapara,Marsaghai,1585.0,1585.0,380.0,210.0,20.452792332998563,86.38796405878081,51.579450685019154,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6241578503302969,0.3,0.6584325703969058,0.4446950457593799,0.5157945068501916,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,159.0,159.0,0.0,10.0
Aitpur,396711,Odisha,Kendrapara,Marsaghai,2476.0,2476.0,577.0,358.0,20.464855011449178,86.37174697774157,47.73087587239841,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.662343485811121,0.1,0.6701499385779697,0.4303411416807771,0.4773087587239841,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,215.0,144.0,71.0,10.0
Odang,396781,Odisha,Kendrapara,Marsaghai,1025.0,1025.0,256.0,115.0,20.407661247172076,86.4167952525386,52.04753737337905,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.658682048823457,0.3,0.6357269997395096,0.4446950457593799,0.5204753737337905,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,79.0,79.0,0.0,10.0
Surtipur,396490,Odisha,Kendrapara,Marsaghai,297.0,297.0,80.0,17.0,20.467900265955862,86.34405691878285,49.505277032090575,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.7071464911247425,0.1,0.6873623785893105,0.4303411416807771,0.4950527703209057,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,10.0,10.0,0.0,12.0
Gobindpur,395658,Odisha,Kendrapara,Rajkanika,244.0,244.0,47.0,241.0,20.730107515498233,86.66444353959395,47.9975566712711,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4797297789158392,0.3,0.5563319122654389,0.6098682748579979,0.479975566712711,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,25.0
Laxmiprasad,395975,Odisha,Kendrapara,Rajnagar,247.0,247.0,57.0,31.0,20.602436295972602,86.82944523468029,43.7087029771795,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6229881669138839,0.0,0.5704620829931142,0.5378752947467564,0.437087029771795,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,28.0,0.0,28.0,38.0
Padmanavpatna,396054,Odisha,Kendrapara,Rajnagar,134.0,134.0,27.0,192.0,20.542428511231066,86.79239498595162,45.88034609409079,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.717379668239287,0.0,0.5440580060790823,0.5378752947467564,0.4588034609409079,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,50.0
Ratanpur,396893,Odisha,Kendrapara,Marsaghai,675.0,675.0,160.0,40.0,20.334472657426367,86.46158128947643,51.71128778812558,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6981078996999666,0.3,0.6008268866008877,0.4123689316052198,0.5171128778812558,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,0.0,0.0,0.0,30.0
