village,vlcode,block,district,flood_hazard_category,flood_hazard_score,flood_occurrence_range,flood_data_source
Mangarajpur,396890,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ameipal,396952,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tikhiri,396946,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balisuan,396947,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahanangala,396957,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Alifa,396943,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kalagarh,396959,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Potari,396889,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bauda,396950,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ramachandrapur,396974,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jadupur,396933,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tekarapanga,396969,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gokha Khati,397104,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Naladiasasan,396967,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajendra Nagar,397117,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Masakani,396932,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raula,396929,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tentuli Kandha,397118,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chhanda,396976,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dekani,396964,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Patalipanka,396970,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kodakan,396973,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chheda Kani,397107,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khurusiapat,396963,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Koratapanga,396965,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Akhadasali,397121,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Naladia,396971,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dasarajapur,397120,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhakud,396961,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gatanai Nuasahi,396966,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Purusottampur,396979,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,396931,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gararomita,396983,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narayanpur,396968,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Harishpur,396048,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Subala,396928,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sathiabati,397103,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nalitajori Pal,397119,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nunimatia Kandha,397105,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Anantapur,396977,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Guptagiri,397116,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Belar,396930,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhusudanpur,396981,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Taradeipur,396978,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Karanjia,396049,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bahargadabadadandua,397122,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Thantapalanda,396960,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Srirampur,396982,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nandanpur,396980,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Paunsiapal,396975,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raghunathpur,396972,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Saralikud,397136,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jogidhankud,397135,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kansardia,397132,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Palli Garh,397123,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Batighar,396060,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barakoli Khala,397137,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Banabiharipur,397126,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nipania,397134,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baraja Bahakuda,397125,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ramanagar,397128,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bahakuda Pitapat,397124,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badatubi,397127,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanatubi,397133,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kentia,397114,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hetamundia,397138,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kasoti,396910,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badapaldia,396913,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kharinasi,396059,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhitara Kharinasi,397130,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bikeikani,396020,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baulanga,396782,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandha Kata,396720,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobind Pur,397052,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gohipur,396053,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Talasanga,396788,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanagan,396935,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kuhudi,396536,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaudia,396018,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badapal,396912,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narasingpur,396790,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manitiri,396894,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Puruso Tamapur,396899,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baikuntha Pur,396721,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badagan,396937,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tulasi Pur,396914,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhagabanpur,396949,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gayaspur,397053,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Posta,396540,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Juna,396909,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narayanpur,396519,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaripada,396542,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hatia,396896,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manikunda,396897,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bachharai,396717,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Godhan,396718,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghadia,396016,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kurutunga,396539,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Thauri,396541,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Podana,396791,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Haladia,396941,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dara Bachha,396898,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhusaranga,396879,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raghabapur,396792,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Athabatia,396938,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jay Chandrapur,396936,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sasanipada,396787,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balikuda,396918,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garajanga,396939,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Aitipur,396919,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kusun Pur,396915,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pikarali,396789,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Girang,396906,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mehendinagar,396512,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Karamakul,396917,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hindulia,396895,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bagadia,396901,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Silipur,396900,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kan Pur,396908,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Parakula,396783,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopinathpur,396916,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bara Tunga,396719,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaganathpur,396535,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ramchandrapur,395847,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kuanrpal,396911,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badakul,396920,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narayanpur,396786,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dumuka,396907,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pentha,396716,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jagadispur,396522,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chakarpur,396516,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barei,396537,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arakhia,396538,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Angulai,396518,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manitiri,397051,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balia,396547,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nembara,396546,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Panchanpur,396515,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Anko,396785,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Niladripur,396523,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jaganathpur,397094,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narendrapur,396543,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kulapada,396534,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garajanga Palli,396784,Marsaghai,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,396520,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chadeiguan,397091,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gaudabadpur,397092,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Goja Bandha,397102,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jalakana,397089,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
