village,vlcode,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution
Madhusudanpur,396891,0.6121003036855619,0.3,0.604072651529159,0.4123689316052198,0.49212204030900225,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Sereinpur,396951,0.48986028698236733,0.8,0.5920579257640408,0.4123689316052198,0.5774463538567645,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Ramachandrapur,396884,0.6785698314322661,0.3,0.6151378546563083,0.4123689316052198,0.5148291994148009,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Baripal,396886,0.6943002227148718,0.3,0.6144228935918984,0.4123689316052198,0.51936957653348,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Balighai,396885,0.6788210014966811,0.0,0.6179703576863964,0.4123689316052198,0.4406126761916474,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Mangarajpur,396890,0.6396034026803463,1.0,0.6068097733732267,0.4123689316052198,0.6760572504684544,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Ameipal,396952,0.5516711656783646,0.8,0.5880255217712425,0.4123689316052198,0.594981516467364,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Tikhiri,396946,0.6225146881693562,1.0,0.5915861663819003,0.4123689316052198,0.6671247343673259,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Balisuan,396947,0.5364882027238419,0.0,0.5982960317046222,0.4123689316052198,0.39299425506435204,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Mahanangala,396957,0.6261780586311141,0.8,0.5902791128634288,0.4123689316052198,0.6178969821262353,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Alifa,396943,0.6536986992069083,0.3,0.6082172169549996,0.4123689316052198,0.5056377003218664,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Kalagarh,396959,0.49117627015938814,0.8,0.5874095951117748,0.4123689316052198,0.5766790661468042,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Potari,396889,0.663986117437207,1.0,0.6068997376516189,0.4123689316052198,0.6833945559651108,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bauda,396950,0.42305488185614726,0.8,0.5915038060584523,0.4123689316052198,0.5572662023925012,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Ramachandrapur,396974,0.6801324294463469,0.3,0.6063712224549341,0.4123689316052198,0.5131063207686816,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Jadupur,396933,0.37333516766599345,0.3,0.5819715809803749,0.4446950457593799,0.42143245469676777,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Tekarapanga,396969,0.5600619866930727,0.0,0.5979162445930014,0.4123689316052198,0.39997144347721614,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gokha Khati,397104,0.4850569722474738,0.1,0.5932283189007834,0.4123689316052198,0.40129795772048193,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Naladiasasan,396967,0.4662557149022659,0.0,0.5896751806872416,0.4123689316052198,0.36976929596353414,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Rajendra Nagar,397117,0.49987956245424847,0.8,0.6019308712568545,,0.6255582331881101,HIGH,3,COASTAL + FLOOD + CYCLONE
Masakani,396932,0.41807091153089593,0.3,0.5857411996543569,0.4123689316052198,0.42933035969390193,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Raula,396929,0.4372410897863625,0.0,0.5900719473758289,0.4123689316052198,0.36116410010090993,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Tentuli Kandha,397118,0.48334390390669285,0.0,0.5980607969751648,0.4123689316052198,0.376992156736843,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Chhanda,396976,0.6635864975980692,0.0,0.6055352875453176,0.4123689316052198,0.43293355748679413,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Dekani,396964,0.6457129427710073,0.0,0.6018666280430898,0.4123689316052198,0.4266543261631186,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Patalipanka,396970,0.6750467039515402,0.0,0.6059174968710601,0.4123689316052198,0.4364671717242711,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Kodakan,396973,0.6854303446969154,1.0,0.6073316830341873,0.4123689316052198,0.6899358104886654,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Chheda Kani,397107,0.4339823482820066,0.1,0.5940510997429291,0.4123689316052198,0.38618126574137823,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Khurusiapat,396963,0.6965503960911712,0.0,0.6027705406775705,0.4123689316052198,0.44213154031778795,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Koratapanga,396965,0.5679605816187807,0.8,0.5990357573213677,0.4123689316052198,0.6026209001370201,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Akhadasali,397121,0.6584779436582906,0.0,0.6109953603762587,,0.4378652789894398,MODERATE,3,COASTAL + FLOOD + CYCLONE
Naladia,396971,0.6907478989340305,1.0,0.6090618701841328,0.4123689316052198,0.6919636235472864,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Dasarajapur,397120,0.6649745613579858,0.1,0.6083432764074572,0.4123689316052198,0.459051973830304,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bandhakud,396961,0.6265062640252288,0.8,0.5956440039645643,0.4123689316052198,0.6193366665197537,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gatanai Nuasahi,396966,0.5386435774776808,0.0,0.5929092040801166,0.4123689316052198,0.3922941605843773,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Purusottampur,396979,0.5783280258618825,0.1,0.5999294878696211,0.4123689316052198,0.430954566047014,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nuagan,396931,0.38083987002514635,0.0,0.586899587524556,0.4123689316052198,0.3434506442097268,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gararomita,396983,0.6409888351328263,0.3,0.6038972978584015,0.4123689316052198,0.5007447613254923,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Narayanpur,396968,0.4875699000546514,1.0,0.5936421162167913,0.4123689316052198,0.6271552853916372,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Harishpur,396048,0.6252932577898911,0.1,0.5362649883960691,0.5378752947467564,0.45422928338533586,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Subala,396928,0.45968453802611176,0.0,0.5920804773433392,0.4123689316052198,0.36839926706471227,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Sathiabati,397103,0.5005064466012563,0.1,0.596036951779167,0.4123689316052198,0.4066349582462126,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nalitajori Pal,397119,0.5951029182475311,0.0,0.6050883995181457,0.4123689316052198,0.41227676167483973,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nunimatia Kandha,397105,0.44453190985089563,0.3,0.5920462648853511,0.4123689316052198,0.4388449254976504,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Anantapur,396977,0.6280872290975974,0.3,0.6022965211214839,0.4123689316052198,0.49647408533069415,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Guptagiri,397116,0.41362302330846573,0.8,0.5961076587497681,,0.5913922770999771,HIGH,3,COASTAL + FLOOD + CYCLONE
Belar,396930,0.3577554406835103,0.0,0.5863658096624178,0.4446950457593799,0.3428570937725335,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
