date,village,vlcode,rainfall_mm,rainfall_3day,rainfall_7day,rainfall_30day,rainfall_trigger,mean_susceptibility,median_susceptibility,max_susceptibility,high_risk_pixels,very_high_risk_pixels,high_risk_percentage,very_high_risk_percentage,dynamic_risk,risk_category
2024-01-06,Kottappadi Part,627337,1.8572661,33.7652611,33.7652611,33.7652611,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-07,Thrikkaipatta Part,627338,1.8846508,15.0695629,35.6499119,35.6499119,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-07,Vellarimala,627340,1.8846508,15.0695629,35.6499119,35.6499119,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-07,Kottappadi Part,627337,1.8846508,15.0695629,35.6499119,35.6499119,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-08,Thrikkaipatta Part,627338,0.40579876,4.14771566,36.05571066,36.05571066,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-08,Vellarimala,627340,0.40579876,4.14771566,36.05571066,36.05571066,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-08,Kottappadi Part,627337,0.40579876,4.14771566,36.05571066,36.05571066,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-09,Thrikkaipatta Part,627338,0.19169396,2.48214352,36.24740462,36.24740462,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-09,Vellarimala,627340,0.19169396,2.48214352,36.24740462,36.24740462,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
2024-01-09,Kottappadi Part,627337,0.19169396,2.48214352,36.24740462,36.24740462,0.0,0.2568320631980896,0.18591204285621643,0.983701765537262,10215,2767,18.140649973361747,4.91386965015095,0.17978244423866271,LOW
2024-01-10,Thrikkaipatta Part,627338,15.813406,16.410898720000002,52.06081062,52.06081062,0.0,0.2401052713394165,0.1707943081855774,0.9737507700920105,4990,1094,18.359763052356598,4.025166488833291,0.16807368993759153,LOW
2024-01-10,Vellarimala,627340,15.813406,16.410898720000002,52.06081062,52.06081062,0.0,0.28822436928749084,0.2474726140499115,0.9893639087677002,13205,3591,21.44783004158004,5.832575363825364,0.2017570585012436,LOW
