slide_no,district,latitude,longitude,location,movement_type,history,source_page,source_text
KRL/KOZ/54M14/2015/139,Wayanad,11.507778,75.878333,,"rock cum debris slide, debris slide",,321,KRL/KOZ/54M14/2015/139 Kerala Kozhikode Manicherimala Koorachundu-Kakkayam Road 11.507778 75.878333 Rock cum Debris Slide 2014 13652
KRL/KOZ/54M14/2015/140,Wayanad,11.509444,75.858889,,debris flow,,321,KRL/KOZ/54M14/2015/140 Kerala Kozhikode Manicherimala Koorachundu-Kakkayam Road 11.509444 75.858889 Debris Flow 1990 13655
KRL/KOZ/54M14/2015/163,Wayanad,11.525,75.821667,,debris slide,,321,KRL/KOZ/54M14/2015/163 Kerala Kozhikode Cherukkad Koottalida-Koorachundu Road 11.525 75.821667 Debris Slide NA 13674
KRL/KOZ/54M14/2015/180,Wayanad,11.5075,75.990833,,"rock cum debris slide, debris slide",,321,KRL/KOZ/54M14/2015/180 Kerala Kozhikode Kanappankundu NULL 11.5075 75.990833 Rock cum Debris Slide 2014 13651
KRL/KOZ/54M14/2015/181,Wayanad,11.509722,75.97,,"rock cum debris slide, debris slide",,321,KRL/KOZ/54M14/2015/181 Kerala Kozhikode Mayilallumpara rubber plantation NULL 11.509722 75.97 Rock cum Debris Slide NA 13656
KRL/KOZ/54M14/2015/184,Wayanad,11.509167,75.991667,,debris flow,,321,KRL/KOZ/54M14/2015/184 Kerala Kozhikode Mayilampara rubber plantation NULL 11.509167 75.991667 Debris Flow 1994 13654
KRL/KOZ/54M14/2015/185,Wayanad,11.518056,75.983056,,debris flow,,321,KRL/KOZ/54M14/2015/185 Kerala Kozhikode Mayilampara forest NULL 11.518056 75.983056 Debris Flow 2013 13664
KRL/KOZ/54M14/2015/186,Wayanad,11.508611,75.994167,,"rock cum debris slide, debris slide",,321,KRL/KOZ/54M14/2015/186 Kerala Kozhikode Mayilallumpara NULL 11.508611 75.994167 Rock cum Debris Slide NA 13653
KRL/KOZ/54M14/2015/218,Wayanad,11.518705,75.877626,,debris flow,,321,KRL/KOZ/54M14/2015/218 Kerala Kozhikode Kilikudikki Koorachundu-Kakkayam Road 11.518705 75.877626 Debris Flow 2007 13666
KRL/WAY/54M14/2015/217,Wayanad,11.514444,75.816389,,debris flow,,321,KRL/WAY/54M14/2015/217 Kerala Wayanad Avidanallur Koottalida-Koorachundu Road 11.514444 75.816389 Debris Flow 2007 13659
KRL/WAY/58A02/2015/57,Wayanad,11.509792,76.024886,Lakkidi,"rock cum debris slide, debris slide",,321,KRL/WAY/58A02/2015/57 Kerala Wayanad Near Lakkidi-Near Hairpin No.9 Kozhokode - Vythiri-Gudallur Road 11.509792 76.024886 Rock cum Debris Slide NA 13657
KRL/WAY/58A02/2015/62,Wayanad,11.506867,76.030142,,debris slide,,321,KRL/WAY/58A02/2015/62 Kerala Wayanad Churam Road Kozhokode - Vythiri-Gudallur Road 11.506867 76.030142 Debris Slide NA 13650
KRL/WAY/58A02/2015/83,Wayanad,11.525275,76.145222,,debris slide,,321,KRL/WAY/58A02/2015/83 Kerala Wayanad Thanjirodu NULL 11.525275 76.145222 Debris Slide 2009 13675
KRL/WAY/58A02/2015/84,Wayanad,11.526589,76.144019,,debris slide,,321,KRL/WAY/58A02/2015/84 Kerala Wayanad Thanjirodu1 NULL 11.526589 76.144019 Debris Slide 2009 13679
KRL/WAY/58A02/2015/86,Wayanad,11.519206,76.135783,"Churalmala, Kalladi",debris slide,,321,KRL/WAY/58A02/2015/86 Kerala Wayanad Kalladi Mepadi-Churalmala Road 11.519206 76.135783 Debris Slide 2008 13668
KRL/WAY/58A02/2015/87,Wayanad,11.52815,76.157156,,rock fall,,321,KRL/WAY/58A02/2015/87 Kerala Wayanad Kanthapara NULL 11.52815 76.157156 Rock Fall NA 13682
KRL/WAY/58A02/2015/88,Wayanad,11.526258,76.154406,,"rock cum debris slide, debris slide",,321,KRL/WAY/58A02/2015/88 Kerala Wayanad Kanthapara1 NULL 11.526258 76.154406 Rock cum Debris Slide 2009 13678
KRL/WAY/58A02/2015/89,Wayanad,11.526181,76.163231,,debris slide,,321,KRL/WAY/58A02/2015/89 Kerala Wayanad Vallateri road NULL 11.526181 76.163231 Debris Slide NA 13677
